"","created_at","screen_name","text","country","place_full_name"
"961",2019-08-23 14:23:52,"CindyDuhTM","RED CARPET - TAEMIN !!!!!
#TAEMINinJKT https://t.co/Hc4qDYXH39",NA,NA
"962",2019-08-23 14:23:50,"siva0807jj","MOVE AND DANGER IN ONE GO #TAEMINinJKT https://t.co/j4rnEA1UbA",NA,NA
"963",2019-08-23 14:23:43,"exataem","#TAEMINinJKT #RCTI30 #TAEMIN https://t.co/7haFL1PMTc",NA,NA
"964",2019-08-23 14:23:42,"Jonggkey","190823 RCTi+ Jakarta<U+0001F1EE><U+0001F1E9>

#SHINee #<U+C0E4><U+C774><U+B2C8> #taemin #<U+D0DC><U+BBFC> #<U+30C6><U+30DF><U+30F3> #TAEMINinJKT https://t.co/D1Nrrrpbwp",NA,NA
"965",2019-08-23 14:23:41,"IpShawol","190823 RCTI30 <U+D0DC><U+BBFC> <U+C911><U+AC04><U+C778><U+D130><U+BDF0> <U+BB34><U+D3B8><U+C9D1><U+BCF8>(2)
#TAEMINinJKT https://t.co/qKtOPxq5Dq",NA,NA
"966",2019-08-23 14:23:40,"petitejinki","190823 officialrcti IG

https://t.co/PJUofdPaFt
https://t.co/uMMNOAEr7I
https://t.co/xN1miNYv8d
https://t.co/hwOI5jP3zM

#TAEMIN #<U+D0DC><U+BBFC> #<U+30C6><U+30DF><U+30F3> #TAEMINinJKT https://t.co/8WVZnWluZK",NA,NA
"967",2019-08-23 14:23:37,"Miss_u_6v6","190823 <U+D0DC><U+BBFC> DANGER #TAEMINinJKT (1)
#<U+D0DC><U+BBFC> #TAEMIN #<U+30C6><U+30DF><U+30F3> https://t.co/AjcJtCSjwn",NA,NA
"968",2019-08-23 14:23:36,"ever_taem","190823 RCTi+ Jakarta<U+0001F1EE><U+0001F1E9>

#SHINee #<U+C0E4><U+C774><U+B2C8> #taemin #<U+D0DC><U+BBFC> #<U+30C6><U+30DF><U+30F3> #TAEMINinJKT https://t.co/D1Nrrrpbwp",NA,NA
"969",2019-08-23 14:23:34,"Ca4Ayame","MOVE

8/23

<U+30C6><U+30DF><U+30F3><U+306E><U+6240><U+3078><U+884C><U+304D><U+305F><U+3044><U+0001F622><U+0001F49A><U+0001F423>

 #<U+30C6><U+30DF><U+30F3>
#TAEMIN
#TAEMINinJKT 
#SHINee https://t.co/dreikKgwag",NA,NA
"970",2019-08-23 14:23:31,"zeirtla","Taemin - Move #TAEMINinJKT https://t.co/DLoXIJ2Ne2",NA,NA
"971",2019-08-23 14:23:28,"zeirtla","US SINGING MOVE AND TAEMIN DANCING RIGHT IN FRONT OF MY EYES SJJSJSJAJA #TAEMINinJKT https://t.co/fOSGR99CgZ",NA,NA
"972",2019-08-23 14:23:30,"Touchsha2","Taemin is so humble and polite, but also so playful!!!!! AND he walks so cutely!!!!! <U+0001F97A><U+0001F62D><U+0001F497><U+0001F497><U+0001F497> #TAEMINinJKT https://t.co/T45scIenIu",NA,NA
"973",2019-08-23 14:23:30,"blingblingojkmt","The unkles bopping to Taemin's MOVE is such a mood. Prove that Taemin can captivates everyone, every age, and make anyone dance with him. TAEMIN'S POWRR.
#TAEMINinJKT https://t.co/FhfPN7Cz7m",NA,NA
